C0011615	IL31
C1386048	PLAGL1
C0476273	SFTPC
C1843108	LMNA
C0264886	SCN1B
C0349588	AASS
C0085307	PLAT
C1621958	ERBB2
C0011813	ACVR2B
C0235946	FGFR3
C4280321	HDAC4
C1306122	CACNA1F
C1848570	ZMPSTE24
C0027626	SLC39A10
C0028754	PDE6G
C0004352	AUTS6
C4020875	PDX1
C0423110	ASCL1
C1853737	IGF2
C0151611	KCNAB2
C1836653	SMAD3
C1837785	LMNA
C0242584	PNP
C0678230	PEX19
C1854494	CLN8
C0007621	LIN28B
C0024121	MIR146A
C0010417	FGF17
C1840077	HIC1
C0554101	RFX5
C0376634	LPAR1
C1695776	NPR2
C0542476	EIF2B4
C4020875	RERE
C0456132	GCDH
C0265293	FLNA
C0232939	CHD7
C1860844	PQBP1
C2931852	VEGFA
C1855019	PEX14
C0878787	DCHS1
C1865017	WNT5A
C0234632	NR2F1
C4280532	TMEM216
C1854114	NFIX
C3892039	BBS5
C1321329	ATP13A2
C0747651	GBA
C0311468	STOM
C4024599	IL2RG
C4020875	FGFR1
C1860789	STAG2
C4024936	TREM2
C0035304	PPT1
C0231341	WRN
C1844508	CREBBP
C0086565	AGL
C0266294	RET
C0013595	WAS
C0023380	DLD
C1842153	CHST3
C0007196	ABCC6
C0029456	HSPG2
C1858430	PRPS1
C2674171	FGFR3
C4280655	NDN
C0344516	FZD5
C0023493	IRF4
C4020899	POLE
C0036857	KCNE5
C0266427	ZFPM2
C0026827	FMR1
C1859162	CYP7B1
C0007193	FASN
C0541764	ESR1
C4280626	PHGDH
C0020542	NOTCH1
C0085655	TNF
C1843367	HCFC1
C4255213	PDSS1
C0040411	PTGS2
C0033860	NFKBIA
C0013595	NCF2
C4020899	EXT1
C0158113	NAA10
C0004352	KCNMA1
C0525045	S100A10
C0241181	COL1A1
C0019189	GNMT
C1832474	IDDM13
C0581342	CLIP2
C0020608	TGFA
C1854510	OSMR
C1832671	ALDH18A1
C3715051	TCF12
C1408258	NPHP1
C2673648	EGF
C2936907	TMEM126B
C1865870	USH1C
C0043346	XPA
C1850667	ABHD12
C0005910	CDKAL1
C1866134	MASP1
C4025900	NHP2
C0524851	SELENOP
C0152021	GRIP1
C0001925	NPHS1
C0162670	TRNH
C0030193	COL17A1
C0240635	CHST3
C1861403	SUFU
C0263490	ERCC3
C1838869	COL9A3
C0751837	KCND3
C1867103	ATP7A
C0549613	RFX5
C1720862	AGPAT2
C0948387	CTNNB1
C0544755	RMRP
C1843921	NR4A2
C3550546	SEMA3E
C0347959	TRNL1
C0015644	SOD1
C0025362	TUB
C0019189	CP
C0423109	PEX19
C0376175	SMCHD1
C0033578	TIMP4
C1866021	COL6A2
C1848736	GDAP1
C0040411	TYMS
C0949595	NR5A1
C0751967	APOE
C0557874	SLC17A5
C1855304	PRSS12
C3714756	PYCR1
C0017636	PTK2
C1510497	P3H2
C0024668	PTN
C0240635	PSAT1
C0006625	MAFB
C1859353	CARD9
C0020538	G6PC
C0339789	GALC
C1836057	CRYAB
C0026827	CDKN1C
C0038356	PRPF19
C0022116	PCNA
C1864897	PIK3R2
C1856872	MLXIPL
C1839764	MITF
C1848570	SIN3A
C1832119	INPPL1
